Impulz; Pulz/Sekunda; uSv/h; Pulz/Minuta; Sekunda měření; % do konce
1; 0.69; 0.2594; 41.18; 1.5; 0.002
2; 0.74; 0.2784; 44.19; 2.7; 0.005
3; 1.02; 0.385; 61.12; 2.9; 0.005
4; 1.04; 0.3946; 62.64; 3.8; 0.006
5; 0.99; 0.3724; 59.11; 5.1; 0.008
6; 1.13; 0.4254; 67.52; 5.3; 0.009
7; 1.18; 0.446; 70.79; 5.9; 0.01
8; 0.87; 0.3296; 52.31; 9.2; 0.015
9; 0.97; 0.3668; 58.22; 9.3; 0.015
10; 1.01; 0.3801; 60.33; 9.9; 0.017
11; 1.02; 0.387; 61.42; 10.7; 0.018
12; 0.98; 0.3687; 58.52; 12.3; 0.021
13; 0.91; 0.3431; 54.46; 14.3; 0.024
14; 0.89; 0.3352; 53.21; 15.8; 0.026
15; 0.93; 0.3524; 55.94; 16.1; 0.027
16; 0.98; 0.3716; 58.98; 16.3; 0.027
17; 0.95; 0.3591; 57.0; 17.9; 0.03
18; 0.99; 0.3727; 59.16; 18.3; 0.03
19; 0.92; 0.3476; 55.17; 20.7; 0.034
20; 0.95; 0.358; 56.83; 21.1; 0.035
21; 0.96; 0.363; 57.61; 21.9; 0.036
22; 0.98; 0.3718; 59.02; 22.4; 0.037
23; 0.98; 0.3711; 58.91; 23.4; 0.039
24; 0.95; 0.3606; 57.24; 25.2; 0.042
25; 0.98; 0.3688; 58.53; 25.6; 0.043
26; 1.01; 0.3815; 60.56; 25.8; 0.043
27; 1.01; 0.3809; 60.45; 26.8; 0.045
28; 1.04; 0.3936; 62.47; 26.9; 0.045
29; 1.08; 0.407; 64.6; 26.9; 0.045
30; 1.1; 0.4145; 65.8; 27.4; 0.046
31; 1.11; 0.4184; 66.42; 28.0; 0.047
32; 1.08; 0.4077; 64.71; 29.7; 0.049
33; 1.09; 0.4131; 65.57; 30.2; 0.05
34; 1.11; 0.4214; 66.89; 30.5; 0.051
35; 1.15; 0.4329; 68.71; 30.6; 0.051
36; 1.14; 0.4304; 68.31; 31.6; 0.053
37; 1.16; 0.4402; 69.87; 31.8; 0.053
38; 1.19; 0.4486; 71.21; 32.0; 0.053
39; 1.18; 0.4478; 71.08; 32.9; 0.055
40; 1.2; 0.4554; 72.28; 33.2; 0.055
41; 1.09; 0.4135; 65.64; 37.5; 0.062
42; 1.11; 0.4208; 66.79; 37.7; 0.063
43; 1.11; 0.4192; 66.54; 38.8; 0.065
44; 1.13; 0.4268; 67.75; 39.0; 0.065
45; 0.99; 0.376; 59.69; 45.2; 0.075
46; 1.02; 0.3842; 60.98; 45.3; 0.075
47; 1.03; 0.3912; 62.1; 45.4; 0.076
48; 1.0; 0.3774; 59.91; 48.1; 0.08
49; 1.02; 0.3849; 61.1; 48.1; 0.08
50; 1.04; 0.3925; 62.3; 48.2; 0.08
51; 1.05; 0.3956; 62.79; 48.7; 0.081
52; 1.07; 0.4027; 63.91; 48.8; 0.081
53; 1.07; 0.4055; 64.37; 49.4; 0.082
54; 1.07; 0.4059; 64.43; 50.3; 0.084
55; 1.05; 0.3987; 63.29; 52.1; 0.087
56; 1.07; 0.4049; 64.27; 52.3; 0.087
57; 1.07; 0.4043; 64.18; 53.3; 0.089
58; 1.08; 0.4064; 64.51; 53.9; 0.09
59; 1.09; 0.4106; 65.17; 54.3; 0.091
60; 1.08; 0.4089; 64.9; 55.5; 0.092
61; 1.09; 0.4138; 65.69; 55.7; 0.093
62; 1.09; 0.4112; 65.27; 57.0; 0.095
63; 1.08; 0.4078; 64.74; 58.4; 0.097
64; 1.09; 0.4128; 65.53; 58.6; 0.098
65; 1.11; 0.418; 66.35; 58.8; 0.098
66; 1.1; 0.4152; 65.9; 60.1; 0.1
67; 1.11; 0.4212; 66.86; 60.1; 0.1
68; 1.12; 0.4224; 67.04; 60.9; 0.101
69; 1.13; 0.4279; 67.92; 61.0; 0.102
70; 1.07; 0.4035; 64.04; 65.6; 0.109
71; 1.06; 0.4024; 63.87; 66.7; 0.111
72; 1.05; 0.3987; 63.28; 68.3; 0.114
73; 1.06; 0.4007; 63.6; 68.9; 0.115
74; 1.06; 0.4025; 63.88; 69.5; 0.116
75; 1.08; 0.4075; 64.68; 69.6; 0.116
76; 1.09; 0.4125; 65.47; 69.7; 0.116
77; 1.09; 0.4128; 65.52; 70.5; 0.118
78; 1.08; 0.4064; 64.51; 72.5; 0.121
79; 1.07; 0.405; 64.28; 73.7; 0.123
80; 1.06; 0.4021; 63.82; 75.2; 0.125
81; 1.07; 0.4051; 64.3; 75.6; 0.126
82; 1.03; 0.389; 61.74; 79.7; 0.133
83; 1.04; 0.3937; 62.49; 79.7; 0.133
84; 1.04; 0.3919; 62.2; 81.0; 0.135
85; 1.04; 0.3948; 62.67; 81.4; 0.136
86; 1.01; 0.3801; 60.33; 85.5; 0.143
87; 1.01; 0.3833; 60.84; 85.8; 0.143
88; 1.02; 0.3859; 61.25; 86.2; 0.144
89; 1.02; 0.3865; 61.35; 87.0; 0.145
90; 1.03; 0.3899; 61.89; 87.2; 0.145
91; 1.04; 0.393; 62.38; 87.5; 0.146
92; 1.04; 0.3919; 62.21; 88.7; 0.148
93; 1.04; 0.3944; 62.61; 89.1; 0.149
94; 1.02; 0.3874; 61.49; 91.7; 0.153
95; 1.03; 0.3891; 61.77; 92.3; 0.154
96; 1.04; 0.3923; 62.28; 92.5; 0.154
97; 1.05; 0.3961; 62.87; 92.6; 0.154
98; 1.03; 0.3887; 61.7; 95.3; 0.159
99; 1.04; 0.3919; 62.21; 95.5; 0.159
100; 1.04; 0.3923; 62.28; 96.3; 0.161
101; 1.04; 0.3943; 62.59; 96.8; 0.161
102; 1.05; 0.3957; 62.82; 97.4; 0.162
103; 1.04; 0.3942; 62.58; 98.8; 0.165
104; 1.04; 0.3916; 62.16; 100.4; 0.167
105; 1.04; 0.3927; 62.33; 101.1; 0.168
106; 1.05; 0.396; 62.85; 101.2; 0.169
107; 1.05; 0.3983; 63.22; 101.6; 0.169
108; 1.06; 0.4014; 63.72; 101.7; 0.169
109; 1.07; 0.4041; 64.15; 102.0; 0.17
110; 1.06; 0.4009; 63.63; 103.7; 0.173
111; 1.05; 0.3979; 63.15; 105.5; 0.176
112; 1.06; 0.4009; 63.63; 105.6; 0.176
113; 1.07; 0.4045; 64.2; 105.6; 0.176
114; 1.07; 0.4032; 63.99; 106.9; 0.178
115; 1.05; 0.3972; 63.05; 109.4; 0.182
116; 1.06; 0.4006; 63.58; 109.5; 0.182
117; 1.07; 0.4034; 64.03; 109.6; 0.183
118; 1.07; 0.4063; 64.5; 109.8; 0.183
119; 1.07; 0.4046; 64.22; 111.2; 0.185
120; 1.08; 0.4077; 64.71; 111.3; 0.185
121; 1.09; 0.4108; 65.21; 111.3; 0.186
122; 1.09; 0.4137; 65.67; 111.5; 0.186
123; 1.09; 0.4138; 65.68; 112.4; 0.187
124; 1.1; 0.4141; 65.73; 113.2; 0.189
125; 1.1; 0.4167; 66.14; 113.4; 0.189
126; 1.11; 0.4199; 66.65; 113.4; 0.189
127; 1.08; 0.4075; 64.69; 117.8; 0.196
128; 1.06; 0.3988; 63.31; 121.3; 0.202
129; 1.06; 0.4011; 63.67; 121.6; 0.203
130; 1.06; 0.3991; 63.35; 123.1; 0.205
131; 1.06; 0.402; 63.81; 123.2; 0.205
132; 1.07; 0.4045; 64.21; 123.3; 0.206
133; 1.07; 0.4048; 64.25; 124.2; 0.207
134; 1.07; 0.4059; 64.43; 124.8; 0.208
135; 1.07; 0.4059; 64.43; 125.7; 0.21
136; 1.08; 0.408; 64.75; 126.0; 0.21
137; 1.09; 0.4108; 65.2; 126.1; 0.21
138; 1.08; 0.4097; 65.03; 127.3; 0.212
139; 1.09; 0.4106; 65.18; 128.0; 0.213
140; 1.09; 0.4118; 65.37; 128.5; 0.214
141; 1.09; 0.4126; 65.48; 129.2; 0.215
142; 1.1; 0.415; 65.87; 129.3; 0.216
143; 1.09; 0.4104; 65.15; 131.7; 0.22
144; 1.09; 0.4118; 65.36; 132.2; 0.22
145; 1.09; 0.4108; 65.2; 133.4; 0.222
146; 1.09; 0.4108; 65.2; 134.4; 0.224
147; 1.09; 0.4115; 65.32; 135.0; 0.225
148; 1.08; 0.4094; 64.98; 136.7; 0.228
149; 1.09; 0.4119; 65.39; 136.7; 0.228
150; 1.1; 0.4147; 65.82; 136.7; 0.228
151; 1.1; 0.4159; 66.01; 137.3; 0.229
152; 1.1; 0.4172; 66.22; 137.7; 0.23
153; 1.1; 0.4162; 66.06; 139.0; 0.232
154; 1.09; 0.4127; 65.51; 141.1; 0.235
155; 1.09; 0.4126; 65.49; 142.0; 0.237
156; 1.09; 0.4114; 65.31; 143.3; 0.239
157; 1.09; 0.4134; 65.62; 143.6; 0.239
158; 1.1; 0.4151; 65.89; 143.9; 0.24
159; 1.08; 0.4087; 64.88; 147.0; 0.245
160; 1.09; 0.4107; 65.19; 147.3; 0.245
161; 1.09; 0.4121; 65.42; 147.7; 0.246
162; 1.09; 0.4134; 65.62; 148.1; 0.247
163; 1.09; 0.4118; 65.36; 149.6; 0.249
164; 1.09; 0.4127; 65.5; 150.2; 0.25
165; 1.1; 0.414; 65.72; 150.6; 0.251
166; 1.1; 0.416; 66.03; 150.8; 0.251
167; 1.11; 0.4184; 66.41; 150.9; 0.251
168; 1.11; 0.4182; 66.38; 151.9; 0.253
169; 1.11; 0.4196; 66.6; 152.3; 0.254
170; 1.11; 0.421; 66.82; 152.6; 0.254
171; 1.12; 0.4234; 67.21; 152.7; 0.254
172; 1.12; 0.4245; 67.38; 153.2; 0.255
173; 1.13; 0.4267; 67.73; 153.3; 0.255
174; 1.13; 0.4261; 67.64; 154.4; 0.257
175; 1.13; 0.4284; 68.01; 154.4; 0.257
176; 1.09; 0.4137; 65.66; 160.8; 0.268
177; 1.09; 0.4134; 65.62; 161.8; 0.27
178; 1.06; 0.4017; 63.76; 167.5; 0.279
179; 1.07; 0.4028; 63.94; 168.0; 0.28
180; 1.07; 0.405; 64.29; 168.0; 0.28
181; 1.07; 0.403; 63.97; 169.8; 0.283
182; 1.06; 0.4009; 63.64; 171.6; 0.286
183; 1.06; 0.4021; 63.82; 172.0; 0.287
184; 1.07; 0.4027; 63.92; 172.7; 0.288
185; 1.07; 0.4037; 64.08; 173.2; 0.289
186; 1.07; 0.4056; 64.39; 173.3; 0.289
187; 1.08; 0.4075; 64.68; 173.5; 0.289
188; 1.08; 0.4087; 64.87; 173.9; 0.29
189; 1.08; 0.41; 65.08; 174.2; 0.29
190; 1.08; 0.4081; 64.77; 176.0; 0.293
191; 1.08; 0.4098; 65.05; 176.2; 0.294
192; 1.08; 0.4083; 64.81; 177.7; 0.296
193; 1.08; 0.4082; 64.79; 178.7; 0.298
194; 1.08; 0.4092; 64.95; 179.2; 0.299
195; 1.08; 0.4081; 64.78; 180.6; 0.301
196; 1.08; 0.4084; 64.82; 181.4; 0.302
197; 1.08; 0.4072; 64.64; 182.9; 0.305
198; 1.08; 0.4076; 64.7; 183.6; 0.306
199; 1.08; 0.4067; 64.56; 185.0; 0.308
200; 1.08; 0.4069; 64.6; 185.8; 0.31
201; 1.08; 0.4064; 64.5; 187.0; 0.312
202; 1.08; 0.4078; 64.72; 187.3; 0.312
203; 1.08; 0.409; 64.92; 187.6; 0.313
204; 1.09; 0.4109; 65.23; 187.7; 0.313
205; 1.09; 0.412; 65.39; 188.1; 0.314
206; 1.09; 0.4132; 65.59; 188.5; 0.314
207; 1.1; 0.4143; 65.76; 188.9; 0.315
208; 1.09; 0.4131; 65.58; 190.3; 0.317
209; 1.1; 0.4139; 65.7; 190.9; 0.318
210; 1.09; 0.4135; 65.63; 192.0; 0.32
211; 1.09; 0.4117; 65.35; 193.7; 0.323
212; 1.08; 0.4095; 65.0; 195.7; 0.326
213; 1.09; 0.4107; 65.19; 196.0; 0.327
214; 1.08; 0.4065; 64.53; 199.0; 0.332
215; 1.08; 0.408; 64.76; 199.2; 0.332
216; 1.08; 0.409; 64.91; 199.6; 0.333
217; 1.09; 0.4106; 65.17; 199.8; 0.333
218; 1.08; 0.4096; 65.01; 201.2; 0.335
219; 1.09; 0.4107; 65.2; 201.5; 0.336
220; 1.08; 0.4099; 65.07; 202.9; 0.338
221; 1.09; 0.4113; 65.29; 203.1; 0.339
222; 1.09; 0.4119; 65.38; 203.7; 0.34
