Impulz; Pulz/Sekunda; uSv/h; Pulz/Minuta; Sekunda měření; % do konce
1; 0.26; 0.0975; 15.47; 3.9; 0.006
2; 0.47; 0.1759; 27.92; 4.3; 0.007
3; 0.51; 0.1916; 30.42; 5.9; 0.01
4; 0.51; 0.1932; 30.66; 7.8; 0.013
5; 0.6; 0.2263; 35.92; 8.4; 0.014
6; 0.57; 0.2153; 34.18; 10.5; 0.018
7; 0.66; 0.2482; 39.4; 10.7; 0.018
8; 0.54; 0.2056; 32.64; 14.7; 0.025
9; 0.53; 0.1988; 31.56; 17.1; 0.029
10; 0.56; 0.2114; 33.55; 17.9; 0.03
11; 0.53; 0.2019; 32.04; 20.6; 0.034
12; 0.47; 0.1777; 28.21; 25.5; 0.043
13; 0.49; 0.187; 29.68; 26.3; 0.044
14; 0.52; 0.1961; 31.13; 27.0; 0.045
15; 0.55; 0.206; 32.71; 27.5; 0.046
16; 0.57; 0.2168; 34.42; 27.9; 0.046
17; 0.6; 0.2258; 35.85; 28.5; 0.047
18; 0.51; 0.1917; 30.43; 35.5; 0.059
19; 0.47; 0.1782; 28.28; 40.3; 0.067
20; 0.46; 0.1751; 27.79; 43.2; 0.072
21; 0.47; 0.1789; 28.4; 44.4; 0.074
22; 0.48; 0.1804; 28.64; 46.1; 0.077
23; 0.5; 0.1875; 29.77; 46.4; 0.077
24; 0.51; 0.1914; 30.37; 47.4; 0.079
25; 0.51; 0.1944; 30.86; 48.6; 0.081
26; 0.53; 0.2002; 31.77; 49.1; 0.082
27; 0.52; 0.1963; 31.17; 52.0; 0.087
28; 0.5; 0.1891; 30.01; 56.0; 0.093
29; 0.51; 0.1921; 30.49; 57.1; 0.095
30; 0.45; 0.1707; 27.1; 66.4; 0.111
31; 0.45; 0.1718; 27.27; 68.2; 0.114
32; 0.46; 0.1755; 27.86; 68.9; 0.115
33; 0.48; 0.1801; 28.59; 69.3; 0.115
34; 0.47; 0.1764; 28.0; 72.9; 0.121
35; 0.45; 0.17; 26.99; 77.8; 0.13
36; 0.45; 0.17; 26.98; 80.1; 0.133
37; 0.46; 0.1734; 27.52; 80.7; 0.134
38; 0.46; 0.1734; 27.52; 82.8; 0.138
39; 0.47; 0.1771; 28.12; 83.2; 0.139
40; 0.48; 0.1814; 28.8; 83.3; 0.139
41; 0.49; 0.1853; 29.41; 83.7; 0.139
42; 0.48; 0.1832; 29.08; 86.7; 0.144
43; 0.49; 0.1839; 29.18; 88.4; 0.147
44; 0.49; 0.1846; 29.31; 90.1; 0.15
45; 0.49; 0.1834; 29.11; 92.8; 0.155
46; 0.47; 0.1789; 28.39; 97.2; 0.162
47; 0.47; 0.1771; 28.11; 100.3; 0.167
48; 0.45; 0.1704; 27.04; 106.5; 0.177
49; 0.45; 0.1687; 26.79; 109.8; 0.183
50; 0.45; 0.1716; 27.24; 110.2; 0.184
51; 0.44; 0.1651; 26.21; 116.7; 0.195
52; 0.42; 0.1589; 25.22; 123.7; 0.206
53; 0.41; 0.1561; 24.79; 128.3; 0.214
54; 0.41; 0.1553; 24.64; 131.5; 0.219
55; 0.41; 0.1566; 24.86; 132.7; 0.221
56; 0.42; 0.1591; 25.25; 133.1; 0.222
57; 0.42; 0.1603; 25.45; 134.4; 0.224
58; 0.42; 0.1594; 25.3; 137.5; 0.229
59; 0.42; 0.1578; 25.05; 141.3; 0.236
60; 0.41; 0.1564; 24.83; 145.0; 0.242
61; 0.42; 0.1584; 25.14; 145.6; 0.243
62; 0.42; 0.1579; 25.07; 148.4; 0.247
63; 0.42; 0.1598; 25.36; 149.1; 0.248
64; 0.43; 0.1615; 25.63; 149.8; 0.25
65; 0.43; 0.1635; 25.95; 150.3; 0.251
66; 0.44; 0.1654; 26.25; 150.9; 0.251
67; 0.44; 0.1661; 26.37; 152.5; 0.254
68; 0.44; 0.1663; 26.4; 154.5; 0.258
69; 0.45; 0.1687; 26.78; 154.6; 0.258
70; 0.45; 0.1694; 26.9; 156.2; 0.26
71; 0.45; 0.1696; 26.92; 158.2; 0.264
72; 0.45; 0.1699; 26.97; 160.2; 0.267
73; 0.45; 0.1707; 27.1; 161.6; 0.269
74; 0.45; 0.1687; 26.78; 165.8; 0.276
75; 0.45; 0.1704; 27.04; 166.4; 0.277
76; 0.46; 0.1721; 27.31; 166.9; 0.278
77; 0.44; 0.1681; 26.68; 173.1; 0.289
78; 0.45; 0.1687; 26.78; 174.8; 0.291
79; 0.45; 0.1701; 27.0; 175.6; 0.293
80; 0.45; 0.1695; 26.91; 178.4; 0.297
81; 0.45; 0.171; 27.14; 179.1; 0.298
82; 0.45; 0.1717; 27.26; 180.5; 0.301
83; 0.45; 0.1708; 27.12; 183.7; 0.306
84; 0.46; 0.1726; 27.4; 183.9; 0.307
85; 0.45; 0.1706; 27.08; 188.3; 0.314
86; 0.45; 0.17; 26.98; 191.3; 0.319
87; 0.45; 0.1712; 27.17; 192.1; 0.32
88; 0.46; 0.172; 27.3; 193.4; 0.322
89; 0.46; 0.1732; 27.49; 194.3; 0.324
90; 0.46; 0.1747; 27.74; 194.7; 0.325
91; 0.46; 0.1743; 27.66; 197.4; 0.329
92; 0.46; 0.1744; 27.69; 199.4; 0.332
93; 0.46; 0.1747; 27.73; 201.2; 0.335
94; 0.46; 0.1757; 27.88; 202.3; 0.337
95; 0.47; 0.1764; 27.99; 203.6; 0.339
96; 0.47; 0.1772; 28.12; 204.8; 0.341
97; 0.47; 0.179; 28.41; 204.9; 0.341
98; 0.48; 0.1808; 28.69; 204.9; 0.342
99; 0.48; 0.1815; 28.81; 206.2; 0.344
100; 0.48; 0.1828; 29.02; 206.7; 0.345
101; 0.49; 0.1844; 29.27; 207.0; 0.345
102; 0.49; 0.1855; 29.44; 207.9; 0.347
103; 0.48; 0.1819; 28.88; 214.0; 0.357
104; 0.49; 0.1836; 29.14; 214.2; 0.357
105; 0.47; 0.1767; 28.05; 224.6; 0.374
106; 0.45; 0.1705; 27.06; 235.1; 0.392
107; 0.45; 0.1709; 27.12; 236.7; 0.395
108; 0.45; 0.1687; 26.77; 242.0; 0.403
109; 0.45; 0.1692; 26.85; 243.6; 0.406
110; 0.45; 0.17; 26.99; 244.6; 0.408
111; 0.45; 0.1714; 27.21; 244.8; 0.408
112; 0.45; 0.1714; 27.2; 247.0; 0.412
113; 0.46; 0.1722; 27.33; 248.1; 0.413
114; 0.46; 0.173; 27.46; 249.1; 0.415
115; 0.46; 0.1726; 27.4; 251.8; 0.42
116; 0.46; 0.1728; 27.42; 253.8; 0.423
117; 0.45; 0.1706; 27.08; 259.3; 0.432
118; 0.45; 0.1717; 27.26; 259.7; 0.433
119; 0.46; 0.173; 27.46; 260.0; 0.433
120; 0.46; 0.1739; 27.61; 260.8; 0.435
121; 0.46; 0.1747; 27.73; 261.8; 0.436
122; 0.46; 0.1744; 27.68; 264.4; 0.441
123; 0.46; 0.1739; 27.61; 267.3; 0.446
124; 0.46; 0.1752; 27.81; 267.5; 0.446
125; 0.46; 0.1755; 27.86; 269.2; 0.449
126; 0.47; 0.1768; 28.06; 269.5; 0.449
127; 0.47; 0.1764; 28.0; 272.2; 0.454
128; 0.46; 0.1749; 27.77; 276.6; 0.461
129; 0.46; 0.1751; 27.79; 278.6; 0.464
130; 0.46; 0.1723; 27.35; 285.2; 0.475
131; 0.45; 0.1719; 27.29; 288.0; 0.48
132; 0.46; 0.1728; 27.42; 288.8; 0.481
133; 0.45; 0.1718; 27.26; 292.7; 0.488
134; 0.44; 0.1679; 26.65; 301.7; 0.503
135; 0.45; 0.1683; 26.72; 303.1; 0.505
136; 0.44; 0.1668; 26.47; 308.2; 0.514
137; 0.44; 0.1674; 26.57; 309.4; 0.516
138; 0.44; 0.168; 26.67; 310.5; 0.518
139; 0.44; 0.1665; 26.43; 315.6; 0.526
140; 0.44; 0.1674; 26.57; 316.2; 0.527
141; 0.45; 0.1683; 26.72; 316.6; 0.528
142; 0.45; 0.1686; 26.76; 318.3; 0.531
143; 0.45; 0.1698; 26.95; 318.4; 0.531
144; 0.45; 0.1705; 27.07; 319.2; 0.532
145; 0.45; 0.1688; 26.79; 324.7; 0.541
146; 0.45; 0.1691; 26.84; 326.4; 0.544
147; 0.45; 0.17; 26.98; 326.9; 0.545
148; 0.44; 0.1682; 26.7; 332.6; 0.554
149; 0.45; 0.1686; 26.76; 334.1; 0.557
150; 0.45; 0.1687; 26.78; 336.1; 0.56
151; 0.44; 0.167; 26.51; 341.7; 0.57
152; 0.44; 0.1669; 26.5; 344.2; 0.574
153; 0.44; 0.1676; 26.6; 345.1; 0.575
154; 0.44; 0.168; 26.67; 346.4; 0.577
155; 0.45; 0.1682; 26.71; 348.2; 0.58
156; 0.44; 0.167; 26.5; 353.2; 0.589
157; 0.44; 0.1657; 26.3; 358.2; 0.597
158; 0.44; 0.1666; 26.44; 358.6; 0.598
159; 0.44; 0.1671; 26.53; 359.6; 0.599
160; 0.44; 0.1681; 26.69; 359.7; 0.6
161; 0.45; 0.169; 26.83; 360.0; 0.6
162; 0.45; 0.17; 26.99; 360.2; 0.6
163; 0.45; 0.1703; 27.03; 361.8; 0.603
164; 0.45; 0.1704; 27.04; 363.9; 0.607
165; 0.45; 0.1709; 27.13; 365.0; 0.608
166; 0.45; 0.1713; 27.19; 366.3; 0.61
167; 0.46; 0.1723; 27.35; 366.3; 0.611
168; 0.46; 0.1728; 27.43; 367.5; 0.613
169; 0.46; 0.1734; 27.52; 368.5; 0.614
170; 0.46; 0.1737; 27.57; 370.0; 0.617
171; 0.46; 0.1745; 27.69; 370.5; 0.617
172; 0.46; 0.1726; 27.39; 376.7; 0.628
173; 0.46; 0.1735; 27.53; 377.0; 0.628
174; 0.46; 0.1744; 27.68; 377.1; 0.629
175; 0.46; 0.1752; 27.81; 377.6; 0.629
176; 0.47; 0.1761; 27.95; 377.8; 0.63
177; 0.47; 0.1759; 27.93; 380.3; 0.634
178; 0.47; 0.1769; 28.07; 380.4; 0.634
179; 0.47; 0.1776; 28.19; 381.0; 0.635
180; 0.47; 0.1772; 28.13; 383.9; 0.64
181; 0.47; 0.1774; 28.16; 385.7; 0.643
182; 0.46; 0.1756; 27.87; 391.8; 0.653
183; 0.47; 0.1762; 27.96; 392.7; 0.654
184; 0.47; 0.176; 27.93; 395.2; 0.659
185; 0.47; 0.1767; 28.05; 395.7; 0.659
186; 0.47; 0.1777; 28.2; 395.7; 0.66
187; 0.47; 0.1785; 28.33; 396.0; 0.66
188; 0.47; 0.1786; 28.35; 397.9; 0.663
189; 0.47; 0.1779; 28.23; 401.7; 0.669
190; 0.47; 0.178; 28.25; 403.6; 0.673
191; 0.47; 0.1782; 28.28; 405.2; 0.675
192; 0.47; 0.1782; 28.29; 407.2; 0.679
193; 0.47; 0.1788; 28.38; 408.1; 0.68
194; 0.47; 0.1776; 28.2; 412.8; 0.688
195; 0.47; 0.1785; 28.33; 413.0; 0.688
196; 0.47; 0.1793; 28.46; 413.2; 0.689
197; 0.48; 0.1799; 28.55; 414.0; 0.69
198; 0.48; 0.1799; 28.55; 416.1; 0.693
199; 0.47; 0.1782; 28.29; 422.0; 0.703
200; 0.47; 0.1787; 28.37; 423.0; 0.705
201; 0.47; 0.1795; 28.49; 423.3; 0.705
202; 0.47; 0.1785; 28.33; 427.8; 0.713
203; 0.47; 0.1792; 28.44; 428.2; 0.714
204; 0.47; 0.1779; 28.24; 433.4; 0.722
205; 0.47; 0.1787; 28.37; 433.6; 0.723
206; 0.47; 0.1794; 28.48; 434.0; 0.723
207; 0.48; 0.1796; 28.51; 435.6; 0.726
208; 0.48; 0.1799; 28.56; 436.9; 0.728
209; 0.48; 0.1806; 28.66; 437.5; 0.729
210; 0.48; 0.1798; 28.54; 441.5; 0.736
211; 0.48; 0.1802; 28.6; 442.6; 0.738
212; 0.48; 0.1802; 28.6; 444.8; 0.741
213; 0.48; 0.1804; 28.64; 446.2; 0.744
214; 0.48; 0.1802; 28.61; 448.8; 0.748
215; 0.48; 0.1806; 28.66; 450.1; 0.75
216; 0.48; 0.181; 28.73; 451.1; 0.752
217; 0.48; 0.1817; 28.85; 451.4; 0.752
218; 0.48; 0.1812; 28.76; 454.8; 0.758
219; 0.48; 0.1806; 28.67; 458.3; 0.764
220; 0.48; 0.1812; 28.77; 458.8; 0.765
221; 0.48; 0.1814; 28.8; 460.5; 0.767
222; 0.48; 0.1813; 28.78; 462.8; 0.771
223; 0.48; 0.1821; 28.9; 463.0; 0.772
224; 0.48; 0.1823; 28.93; 464.6; 0.774
225; 0.48; 0.1829; 29.02; 465.1; 0.775
226; 0.49; 0.1837; 29.15; 465.1; 0.775
